brand,cpu,ram_gb,storage_gb,gpu,color_gamut,price,name
ASUS,Core i3,8.0,512.0,Integrated,100.0,9878100.0,
ASUS,Core i3,8.0,512.0,Integrated,100.0,9308100.0,
ASUS,Core i3,8.0,512.0,Integrated,100.0,8168100.0,
Lenovo,Core i3,8.0,512.0,Integrated,100.0,7408100.0,
DELL,Core i3,8.0,512.0,Integrated,100.0,8738100.0,
HP,Core i3,8.0,512.0,Integrated,100.0,8073100.0,
HP,Core i3,8.0,512.0,Integrated,100.0,8354300.0,
ASUS,Core i3,4.0,512.0,Integrated,100.0,7598100.0,
MSI,Core i3,8.0,512.0,Integrated,100.0,9308100.0,
HP,Core i3,8.0,512.0,Integrated,100.0,10448100.0,
MSI,Core i3,8.0,512.0,Integrated,100.0,7788100.0,
ASUS,Core i3,8.0,512.0,Integrated,100.0,7978100.0,
Lenovo,Core i3,8.0,512.0,Integrated,100.0,10448100.0,
ASUS,Core i3,8.0,512.0,Integrated,100.0,8548100.0,
HP,Core i3,8.0,512.0,Integrated,100.0,7837500.0,
HP,Core i3,8.0,512.0,Integrated,100.0,8548100.0,
ASUS,Core i3,8.0,512.0,Integrated,100.0,8168100.0,
DELL,Core i3,8.0,512.0,Integrated,100.0,11550100.0,
HP,Core i3,8.0,512.0,Integrated,100.0,8673500.0,
DELL,Core i3,8.0,512.0,Integrated,100.0,7978100.0,
DELL,Core i3,8.0,512.0,Integrated,100.0,8643100.0,
ASUS,Core i3,8.0,512.0,Integrated,100.0,8548100.0,
Lenovo,Core i3,8.0,512.0,Integrated,100.0,8168100.0,
HP,Core i3,4.0,512.0,Integrated,100.0,8643100.0,
HP,Core i3,4.0,512.0,Integrated,100.0,7371810.0,
HP,Core i3,4.0,512.0,Integrated,100.0,13160730.0,
ASUS,Core i3,4.0,512.0,Integrated,100.0,9813310.0,
HP,Core i3,4.0,512.0,Integrated,100.0,9118100.0,
ASUS,Core i3,4.0,512.0,Integrated,100.0,7788100.0,
ASUS,Core i3,4.0,512.0,Integrated,100.0,8168100.0,
ASUS,Core i3,4.0,512.0,Integrated,100.0,8529100.0,
ASUS,Core i3,4.0,512.0,Integrated,100.0,7883100.0,
HP,Core i3,4.0,512.0,Integrated,100.0,9688100.0,
HP,Core i3,4.0,512.0,Integrated,100.0,9291000.0,
ASUS,Core i3,4.0,512.0,Integrated,100.0,7788100.0,
DELL,Core i3,4.0,512.0,Integrated,100.0,7940100.0,
Lenovo,Core i3,4.0,512.0,Integrated,100.0,11019810.0,
DELL,Core i3,8.0,512.0,Integrated,100.0,8726700.0,
HP,Core i3,8.0,512.0,Integrated,100.0,10543100.0,
ASUS,Core i3,8.0,1024.0,Integrated,100.0,6249100.0,
Lenovo,Core i3,8.0,1024.0,Integrated,100.0,6838100.0,
DELL,Core i3,8.0,1024.0,Integrated,100.0,8073100.0,
DELL,Core i3,8.0,1024.0,Integrated,100.0,8016100.0,
DELL,Core i3,8.0,1024.0,Integrated,100.0,7503100.0,
HP,Core i3,8.0,1024.0,Integrated,100.0,8301100.0,
ASUS,Core i3,4.0,1024.0,Integrated,100.0,6838100.0,
DELL,Core i3,8.0,1024.0,Integrated,100.0,8322000.0,
Lenovo,Core i3,8.0,1024.0,Integrated,100.0,7408100.0,
ASUS,Core i3,4.0,1024.0,Integrated,100.0,6648100.0,
ASUS,Core i3,8.0,1024.0,Integrated,100.0,7391000.0,
DELL,Core i3,4.0,1024.0,Integrated,100.0,7598100.0,
DELL,Core i3,4.0,1024.0,Integrated,100.0,7769100.0,
Lenovo,Core i3,4.0,1024.0,Integrated,100.0,7028100.0,
HP,Core i3,4.0,1024.0,Integrated,100.0,7598100.0,
HP,Core i3,4.0,1024.0,Integrated,100.0,7978100.0,
DELL,Core i3,4.0,1024.0,Integrated,100.0,8354300.0,
HP,Core i3,4.0,1024.0,Integrated,100.0,7560100.0,
ASUS,Core i3,4.0,1024.0,Integrated,100.0,6762100.0,
HP,Core i3,4.0,1024.0,Integrated,100.0,6933100.0,
ASUS,Core i3,4.0,1024.0,Integrated,100.0,7408100.0,
ASUS,Core i3,4.0,1024.0,Integrated,100.0,6458100.0,
DELL,Core i3,4.0,1024.0,Integrated,100.0,8246000.0,
ASUS,Celeron Dual,4.0,512.0,Integrated,100.0,4748100.0,
HP,Core i3,4.0,1024.0,Integrated,100.0,7742500.0,
DELL,Core i3,4.0,1024.0,Integrated,100.0,8170000.0,
ASUS,Core i3,4.0,1024.0,Integrated,100.0,7220000.0,
DELL,Core i3,8.0,1024.0,Integrated,100.0,7218100.0,
HP,Core i3,8.0,1024.0,2 GB GPU,100.0,9363010.0,
Lenovo,Core i3,8.0,1024.0,Integrated,100.0,7409810.0,
ASUS,Core i3,8.0,1024.0,Integrated,100.0,7885000.0,
acer,Core i3,4.0,1024.0,Integrated,100.0,7029810.0,
DELL,Core i3,8.0,1024.0,Integrated,100.0,8151000.0,
ASUS,Celeron Dual,4.0,512.0,Integrated,100.0,4083100.0,
DELL,Core i3,8.0,1024.0,Integrated,100.0,7881200.0,
ASUS,Core i3,8.0,1024.0,Integrated,100.0,6268100.0,
ASUS,Core i3,8.0,1024.0,Integrated,100.0,7349200.0,
ASUS,Celeron Dual,4.0,512.0,Integrated,100.0,4558100.0,
DELL,Core i3,8.0,1024.0,Integrated,100.0,7674100.0,
ASUS,Core i3,4.0,1024.0,Integrated,100.0,6458100.0,
ASUS,Celeron Dual,4.0,512.0,Integrated,100.0,3893100.0,
DELL,Core i3,8.0,1280.0,Integrated,100.0,7883100.0,
DELL,Core i3,8.0,1280.0,Integrated,100.0,8643100.0,
DELL,Core i3,8.0,1280.0,Integrated,100.0,8453100.0,
ASUS,Core i3,8.0,1280.0,Integrated,100.0,7959100.0,
DELL,Core i3,4.0,1280.0,Integrated,100.0,8168100.0,
acer,Core i3,8.0,1280.0,Integrated,100.0,7788100.0,
DELL,Core i3,8.0,1280.0,Integrated,100.0,9308100.0,
DELL,Core i3,4.0,1280.0,Integrated,100.0,8282100.0,
DELL,Core i3,4.0,1280.0,Integrated,100.0,8491100.0,
ASUS,Core i3,4.0,1280.0,Integrated,100.0,7788100.0,
DELL,Core i3,4.0,1280.0,Integrated,100.0,8358100.0,
DELL,Core i3,4.0,1280.0,Integrated,100.0,8282100.0,
DELL,Core i3,4.0,1280.0,Integrated,100.0,7864100.0,
DELL,Core i3,4.0,1280.0,Integrated,100.0,8415100.0,
DELL,Core i3,4.0,1280.0,Integrated,100.0,9309810.0,
DELL,Core i3,4.0,1280.0,Integrated,100.0,7598100.0,
DELL,Core i3,8.0,1280.0,Integrated,100.0,8814100.0,
ASUS,Celeron Dual,4.0,512.0,Integrated,100.0,3608100.0,
